start_time,end_time
01:22:54.902,01:23:02.660
01:23:02.660,01:23:16.173
01:23:16.173,01:23:18.759
01:23:18.759,01:23:34.775
01:23:34.775,01:23:37.361
01:23:37.361,01:23:39.363
01:23:39.363,01:23:42.408
01:23:42.408,01:24:07.015
01:24:07.015,01:24:15.274
01:24:15.274,01:24:17.734
01:24:17.734,01:24:20.988
01:24:20.988,01:24:27.119
01:24:27.119,01:24:34.459
01:24:34.459,01:24:42.217
01:24:42.217,01:24:49.099
01:24:49.099,01:24:51.101
01:24:51.101,01:24:55.355
01:24:55.355,01:25:13.915
01:25:13.915,01:25:19.254
01:25:19.254,01:25:30.640
01:25:30.640,01:25:35.937
01:25:35.937,01:25:38.481
01:25:38.481,01:25:40.734
01:25:40.734,01:25:51.035
01:25:51.035,01:26:03.214
01:26:03.214,01:26:10.179
01:26:10.179,01:26:14.309
01:26:14.309,01:26:17.020
01:26:17.020,01:26:20.857
01:26:20.857,01:26:22.275
01:26:22.275,01:26:24.527
01:26:24.527,01:26:28.656
01:26:28.656,01:26:32.035
01:26:32.035,01:26:35.288
01:26:35.288,01:26:50.052
01:26:50.052,01:26:59.687
01:26:59.687,01:27:18.414
01:27:18.414,01:27:34.013
01:27:34.013,01:27:39.393
01:27:39.393,01:27:50.279
01:27:50.279,01:28:01.498
01:28:01.498,01:28:13.969
01:28:13.969,01:28:19.308
01:28:19.308,01:28:29.276
01:28:29.276,01:28:39.244
01:28:39.244,01:29:02.142
01:29:02.142,01:29:05.771
01:29:05.771,01:29:21.578
01:29:21.578,01:29:29.169
01:29:29.169,01:29:42.057
01:29:42.057,01:29:47.395
01:29:47.395,01:29:53.151
01:29:53.151,01:30:04.663
01:30:04.663,01:30:11.044
01:30:11.044,01:30:37.237
01:30:37.237,01:30:43.701
01:30:43.701,01:30:45.828
01:30:45.828,01:30:49.707
01:30:49.707,01:31:01.135
01:31:01.135,01:31:04.806
01:31:04.806,01:31:07.934
01:31:07.934,01:31:17.777
01:31:17.777,01:31:19.362
01:31:19.362,01:31:29.914
01:31:29.914,01:31:36.671
01:31:36.671,01:31:41.717
01:31:41.717,01:31:45.304
01:31:45.304,01:31:46.597
01:31:46.597,01:31:49.934
01:31:49.934,01:31:53.813
01:31:53.813,01:31:57.566
01:31:57.566,01:32:07.451
01:32:07.451,01:32:14.083
01:32:14.083,01:32:20.339
01:32:20.339,01:32:29.640
